,tactile_static_data.left.std.ret/250.0,tactile_static_data.right.std.ret/250.0,robotiq_force_sensor.wrench.force.norm.dividedby10,robotiq_force_sensor.wrench.torque.norm.dividedby0.4,wrench.force.x.ret/10.0,wrench.force.y.ret/10.0,wrench.force.z.ret/10.0,wrench.torque.x.ret/10.0,wrench.torque.y.ret/10.0,wrench.torque.z.ret/10.0,baxter_enpoint_pose.twist.linear.norm.dividedby0.4,baxter_enpoint_pose.twist.angular.norm,baxter_enpoint_pose.twist.linear.x,baxter_enpoint_pose.twist.linear.y,baxter_enpoint_pose.twist.linear.z,baxter_enpoint_pose.twist.angular.x,baxter_enpoint_pose.twist.angular.y,baxter_enpoint_pose.twist.angular.z
1528887200.03,0.717719427474907,0.6907766693610093,0.4047883362932989,0.23652970136131857,0.003199996948242082,-0.10039999861270191,0.3867999267578125,-0.0015599999204277994,-0.005199999809265137,-0.0005799999833106995,0.8554086258835855,0.3179895149816349,-0.08114119518311655,-0.32936724840572035,-0.027904719676660705,-0.012284522463883313,0.09792203497749713,-0.28042981247072857
1528887200.13,0.7189776297021965,0.6898994603524093,0.422164529380842,0.23825826113097243,-0.002999992370605574,-0.10899999756366019,0.40279991149902344,-0.00027999997138977066,-0.005879999846220016,-0.0005799999833106995,0.8094012164516913,0.31177787947643526,-0.07479422226614423,-0.31167955353492277,-0.024635298143980078,-0.018756628628502643,0.08574040871461103,-0.27518480062832973
1528887200.23,0.7180071988479375,0.6937993401975264,0.42292018155263805,0.21679527900670317,-0.013399982452392685,-0.12379999719560147,0.3965998840332031,0.0011799999978393317,-0.004799999855458737,0.00020000005140900605,0.7486949517661674,0.29247339262780614,-0.06243277618188889,-0.28891145258012957,-0.020004063619036613,-0.004699512688446827,0.07395453549413183,-0.26426258625807414
1528887200.33,0.7247206860313887,0.6912399158715621,0.47157369271884075,0.39876592123444843,-0.10059998512268079,0.012000006996095172,0.3675999450683594,-0.008399999970570208,-0.006579999811947346,0.0012600000388920307,0.603401106314278,0.34942663149171593,-0.05262212847691011,-0.23037341437481826,-0.016434357196897096,0.09742318634240826,0.075587990295508,-0.26082934114377854
1528887200.43,0.7437671373454469,0.6872259870014362,0.6243497661248446,1.0350350515855182,-0.1457999897003175,0.27340001400560143,0.3457999420166016,-0.03431999948807061,-0.013880000002682209,0.0013600000366568567,0.4906922938969299,0.36648861239711544,-0.0453884839293833,-0.17092249664729642,-0.02393979978103685,0.16062979951042367,0.0986677574441823,-0.18522039800115694
1528887200.53,0.7691628872016034,0.6933689544447879,0.7486166229905498,1.5907287078808197,-0.18059998512268077,0.49500002171844243,0.3449999237060547,-0.05875999954529107,-0.016160000152885916,0.002879999987781048,0.40442309836937596,0.33671709548036866,-0.025963638722239037,-0.1341023121764918,-0.025061690160635544,0.16536101171165435,0.09589183629421381,-0.12188090357610007
1528887200.63,0.8051773432418733,0.7008427225298188,0.9816068037000597,2.362007060394209,-0.20499999046325695,0.8124000241979956,0.34099990844726563,-0.09124000028707087,-0.018380000181496145,0.004939999990165233,0.28040313608439393,0.34822285643708256,-0.023561320240716735,-0.07478850963565364,-0.034552303280566715,0.2306501786774015,0.1131935904696496,-0.062474955077678945
1528887200.73,0.8434552253584863,0.7085325249347583,1.2168509508268057,3.0984841557209015,-0.24399999618530285,1.125000021159649,0.3469999694824219,-0.12139999926090242,-0.019440000206232072,0.0068200000748038295,0.20331433737136112,0.3516105394486914,-0.032133605184566434,-0.002260306745793441,-0.05602254350272859,0.2789739080047248,0.12966043898618604,-0.027245370320235062
1528887200.83,0.8558355974321699,0.7180109671284085,1.222589064677238,3.126241619316539,-0.1923999881744386,1.0636000177264213,0.4257999420166016,-0.12113999903202058,-0.024020000025629998,0.005740000102669001,0.19285508964102316,0.21850016530615204,-0.029390196467417532,0.003975833185968347,-0.05456429393157127,0.1650032408833638,0.1263783830792164,0.05001525751616477
1528887200.93,0.8507697711492909,0.7232732095715754,1.1064581939757017,2.7463511771962685,-0.16199999809265148,0.9002000066637994,0.4695999145507813,-0.10729999959468843,-0.01641999989748001,0.00654000012204051,0.16568104933484995,0.15449655596986517,-0.022039018242214596,0.005291339051281829,-0.04203924190996488,0.10871101035250649,0.08633013233303395,0.036574618325785034
