,"tactile_static_data.left.std.clip(ret/60.0, -10, 10)","tactile_static_data.right.std.clip(ret/60.0, -10, 10)",robotiq_force_sensor.wrench.force.norm.dividedby10,robotiq_force_sensor.wrench.torque.norm.dividedby0.4,wrench.force.x.ret/10.0,wrench.force.y.ret/10.0,wrench.force.z.ret/10.0,wrench.torque.x.ret/10.0,wrench.torque.y.ret/10.0,wrench.torque.z.ret/10.0,baxter_enpoint_pose.twist.linear.norm.dividedby0.4,baxter_enpoint_pose.twist.angular.norm,baxter_enpoint_pose.twist.linear.x,baxter_enpoint_pose.twist.linear.y,baxter_enpoint_pose.twist.linear.z,baxter_enpoint_pose.twist.angular.x,baxter_enpoint_pose.twist.angular.y,baxter_enpoint_pose.twist.angular.z
1528115887.56,0.351220510143862,0.31981060755703594,0.14178652425459864,0.2976500290077459,-0.05769999742507935,0.06639999657869339,-0.043599891662597805,0.0025799999572336677,0.003960000015795231,-0.010740000009536744,0.14385089289384534,0.06664554405057066,0.010068664332453337,-0.009428137254623738,-0.046683127493067446,-0.00662902935739344,-0.023667721362840087,-0.006766546201649321
1528115887.66,0.3777885569566175,0.32220954673359,0.14543851147725823,0.29813461682113784,-0.02309999704360962,0.06959999829530716,-0.02459995269775405,0.002819999977946282,0.003719999995082617,-0.010760000050067902,0.10723801427448747,0.06731807213974847,0.011888459727903408,-0.008074569456785202,-0.02537804458300647,-0.0010174696224750195,-0.031041008632099024,-0.021860808602402474
1528115887.76,0.3755564807851303,0.3158667932307514,0.1595377430749042,0.29515205610324435,-0.03469999551773072,0.09719999819993974,-0.004799919128418114,0.0023200000077486043,0.003980000000447036,-0.010680000185966492,0.07581445999411926,0.06116454487968636,0.01451411671683045,-0.0033974925447376467,-0.00852631311491401,0.004707477041270656,-0.03943442319658252,-0.017237461565823512
1528115887.86,0.350687852159185,0.30413253689059955,0.1585740369728804,0.2868378947587173,-0.034499990940094,0.06939999848604202,0.016000022888183446,0.002280000001192093,0.0033000000007450585,-0.010540000051259995,0.06593693067035097,0.05974855613992371,0.009769571011213436,-0.0039203860935876494,-0.0026331304630609594,0.008397686718881242,-0.02337118769407137,-0.01769565916278349
1528115887.96,0.3223401933478997,0.2853335446800624,0.14772855318639505,0.26860895784497574,-0.023699996471405034,0.022000000774860376,0.07079998016357408,0.002299999985843897,0.002939999978989363,-0.009880000054836274,0.06074391989362864,0.05108836970129496,0.0030351467680466496,-0.0032470114133313676,0.0018794055131443471,0.0029420814791773853,-0.00696998769743949,-0.010236128532773468
1528115888.06,0.3156732293033703,0.26237925273848506,0.15997184186519825,0.265140199492516,-0.021699998378753665,0.006199999153614034,0.10560001373291,0.002119999993592501,0.002560000028461218,-0.009980000108480455,0.04967765698245377,0.04029588944541019,-0.0017445692844665892,-0.002573234373638008,0.002317444513022629,-0.003730522663339412,0.0025841102866680883,0.0016211927314125638
1528115888.16,0.31267716760202613,0.24663831087249766,0.15508313158606696,0.25472516355111396,-0.018099992275238043,-0.03320000022649766,0.03600002288818344,0.002419999968260527,0.0030400000512599947,-0.009300000071525575,0.04772064651439978,0.03716164426078595,-0.009424044652920897,-0.0022937809800823035,-0.00195917157539001,-0.007184247105987388,0.015055854652409665,0.008776783137288349
1528115888.26,0.29774331530475534,0.2327053093865047,0.1413408072145793,0.24675078888039928,0.022300012111663818,-0.049599998891353615,0.039399986267089696,0.002359999977052212,0.002880000062286854,-0.009019999951124192,0.04818944582905867,0.03344063763757263,-0.010224593220568066,0.0032742572731978728,-0.004696289399129818,0.0028493780037594204,0.017112280818526,0.001832191762096266
1528115888.36,0.31886719928223317,0.23197001645219004,0.15427583188317043,0.2547100759712415,0.04470000982284546,-0.059599999189376834,0.039399986267089696,0.0022599999979138375,0.0032600000500679015,-0.009300000071525573,0.040767024057806765,0.02873924992729517,-0.004400854799299155,0.0035419439820535505,-0.00011518958874979232,0.004360126173204702,0.005895107696240156,-0.0015311613255744594
1528115888.46,0.3074618824968187,0.23138650659850082,0.14546857468593763,0.2633517244701109,0.026100013256072998,-0.029199999570846562,0.012800025939941258,0.0023799999989569188,0.0033400000259280207,-0.00961999997496605,0.04372007320760869,0.026032979503046023,-0.0028661429672861304,0.006880965230997523,-0.0016664410108610773,0.004667499154707574,0.002377722673307313,0.005121411558312975
1528115888.56,0.3012662476118968,0.23623496940438599,0.12813444471124993,0.2800660645283803,0.03290001630783082,-0.03360000014305115,-0.01700000762939468,0.0025000000186264516,0.0030400000140070917,-0.010399999916553498,0.04712462038929216,0.024382847178298705,-0.006107609316847212,0.010263849672634424,-0.003847870989538711,0.010329674151172207,0.008965950015439317,-0.0001549786011145587
1528115888.66,0.2833594935032721,0.24758398934402853,0.14414849217823703,0.2904234645991199,0.02730001211166382,-0.032400000095367434,-0.03559997558593765,0.0024200000055134294,0.003000000007450581,-0.010919999927282334,0.049484335222741066,0.025986737812735656,0.00017358795600423216,0.00729887180967714,0.0008867005872934298,0.006286484961875333,-0.004692552681324473,-0.002566301108704762
1528115888.76,0.30000152131133195,0.24935971467351037,0.17133018759215377,0.30975165765323137,0.02070000410079956,-0.033400001525878915,-0.09659996032714858,0.003160000033676625,0.0034399999678134925,-0.011420000046491624,0.058831944643585425,0.03233847782961642,0.005288398865499918,-0.002151571365024669,0.0026400680145478883,0.00012164364782670054,-0.010486572922138043,-0.010582318179453203
1528115888.86,0.2883945266652154,0.2322674367200917,0.1442129228541201,0.3103718077162711,0.002099997997283936,-0.008800000846385962,-0.10039993286132828,0.003260000012814999,0.003559999987483025,-0.011379999965429308,0.058964174882633204,0.035947224953948156,0.0012677937455973206,-0.0007915314616119156,0.0016547836481708529,-0.0018157933092652605,-0.004488716068429015,-0.0023969155130117714
1528115888.96,0.29338171620756764,0.22481698902053468,0.15051506312444157,0.3142687437435887,0.005099999904632568,-0.035600001513957986,-0.12799995422363297,0.00352000005543232,0.003559999987483025,-0.011480000019073488,0.05937320253338889,0.03864521945253295,0.006323750828928153,-0.002025767964573156,0.0070627502442476555,-0.0009019249566426819,-0.013503130877604273,-0.002470134554534049
1528115889.06,0.31306543573502155,0.22986500932949536,0.1610043957667152,0.30610051863930693,-0.020500004291534424,-0.0190000006556511,-0.13799995422363295,0.003440000042319298,0.0036999999731779105,-0.011120000034570695,0.057328632293848034,0.0394952419642267,0.006352214803328275,-0.008285279488627157,0.006703726509391441,-0.006563367579248056,-0.011753038939741342,-0.006881460347743475
1528115889.16,0.29680721802495924,0.21789009248489263,0.13678700170982114,0.2956382709697033,-0.015300009250640867,0.0253999975323677,-0.0861999893188478,0.0021200000494718554,0.003359999954700471,-0.010820000022649767,0.0706028956836533,0.04837525648166835,0.01147420584462706,-0.010762143942179968,0.0072965130417793934,-0.003071096965730247,-0.01592025310900319,-0.017930779149575027
1528115889.26,0.28628142976262083,0.3121781372582414,0.11228609458507575,0.31725907372225765,-0.015900003910064697,0.025399997532367703,-0.017800025939941556,0.0036000000685453416,0.004120000004768372,-0.010419999957084657,0.0626217877210143,0.049518543117787514,0.009469230711801373,-0.006123137293323501,0.009062615104481454,0.00261843984685529,-0.013278353186526246,-0.01962382853068917
1528115889.36,0.5384895325957733,0.6193180587807618,0.1408133194712951,0.334841739895139,0.0016999983787536616,0.011199996769428244,0.01139995574951157,0.004860000014305115,0.004659999981522561,-0.01030000001192093,0.07057334763869301,0.05030497025575244,0.015630660898781956,-0.0033055448442058785,0.010318492509953106,0.00692571338147158,-0.022757772674921982,-0.022170682408100592
1528115889.46,0.9552270055124115,1.096271973458732,0.19344740963116097,0.3599482350938231,0.012899997234344483,-0.03760000199079515,0.09419994354248032,0.006359999924898148,0.0030799999833107,-0.010480000078678131,0.06750891426232276,0.049570562885104814,0.01556411864877565,-0.003320272251747161,0.00749304144444002,0.00909739725242536,-0.02172857076384046,-0.02492531374780478
1528115889.56,1.407399356409716,1.6259255278159053,0.22199284584676582,0.42967300188068025,-0.009300000667572018,-0.08240000218153001,0.11519992828369127,0.010480000004172325,0.0032000000029802325,-0.010520000010728838,0.06283260319491848,0.049308934650430014,0.017428702587994515,-0.0010427458559210535,0.009517890145615191,0.011671763915759449,-0.025147894897441618,-0.02513677356751423
