,robotiq_force_sensor.wrench.force.norm,robotiq_force_sensor.wrench.torque.norm,baxter_enpoint_pose.twist.linear.norm,baxter_enpoint_pose.twist.angular.norm,tactile_static_data.left.std,tactile_static_data.right.std
1528855948.01,2.4283403034695956,0.05427476015255761,0.024004409029663956,0.03367461648414054,17.786510580799558,15.205048170779628
1528855948.06,2.1462325442693215,0.05839865157491124,0.026134528061944044,0.03697947306644164,19.03842007635225,14.97626868926457
1528855948.11,2.1670685150685003,0.05894918247230985,0.026480168880899862,0.037389744105294706,18.83866207899637,15.666132347417737
1528855948.16,2.227017883978004,0.06315620032870171,0.025254238351216284,0.04164131624816216,18.55122154797889,15.51052395801813
1528855948.21,2.418080328405861,0.0677922579318922,0.024982246688752603,0.03808286006901674,18.54613999922251,14.555932572027341
1528855948.26,2.595313585868586,0.07078863269609986,0.02065940412445112,0.03376691175230682,18.709223576692494,13.834443859184166
1528855948.31,2.677228897351098,0.07257445300736529,0.01829879656355027,0.032174376274306464,18.596817331001212,14.619922853070797
1528855948.36,2.517197361222209,0.06948950440139094,0.01789751369536509,0.03146739845313668,18.745091328535473,14.416798654755539
1528855948.41,2.4606986360428578,0.06721988097899088,0.020343335999197003,0.0287447278621809,18.234249750521542,14.3357683449232
1528855948.46,2.4980451734126476,0.06465535507119516,0.01941991139803601,0.03099652815540907,17.708464481456566,14.85792073986666
1528855948.51,2.5330809524235582,0.06384294288017593,0.01906125039732415,0.032807271532096706,17.066624229157632,15.626357983317996
1528855948.56,2.3336189822070024,0.06491246435247168,0.019030117576647954,0.03087546494993378,16.336965944037683,15.888406779637569
1528855948.61,2.200586727122203,0.06746604853653951,0.01781768217681087,0.03109885498648306,15.039582398065466,15.761741112990416
1528855948.66,2.007595861677062,0.06825295841098607,0.01514313972245541,0.029073286688048493,14.313383389450173,17.048978617039886
1528855948.71,2.035733416684377,0.07012570088878906,0.01414891041863643,0.02449519728275963,14.590652641333419,16.561359956839198
1528855948.76,1.7818311580979507,0.07152908140227858,0.014269426466909055,0.022904145986527603,15.848313520145359,17.213913049983546
1528855948.81,1.8002974797498321,0.06857468908987584,0.012145105039048632,0.019253205276160357,16.539068733775032,17.30899520245544
1528855948.86,1.8243424077570707,0.06727700644093672,0.01520950490651196,0.022670460012924415,17.608331489798008,17.627229305125994
1528855948.91,1.7392333177329589,0.06664729211984634,0.018880111588068092,0.030123984357027456,17.532090547521545,17.19518765009581
1528855948.96,1.3221099918203354,0.0611270012663014,0.018224346549142758,0.031408561959693014,18.186919020707656,17.146052936392593
1528855949.01,1.2035184536243055,0.05992201620147852,0.0179498651203221,0.03447687324527205,17.93926591328866,16.351003212689907
1528855949.06,1.0530122502552661,0.060127123329543126,0.017451974021373263,0.03735292843917019,18.04430451281243,15.918466905960745
1528855949.11,0.912092294235113,0.05911870397039072,0.013629851176380471,0.031455606946166295,19.31486686151053,15.832830518808485
1528855949.16,1.0019955024422484,0.05714430588310615,0.014680777075887452,0.028680981056853093,21.024691941821956,15.928007115311317
1528855949.21,1.4462157919028493,0.05744499638097062,0.025492490309284153,0.03876643366175655,20.35881286486564,16.19588071683751
1528855949.26,1.7847174646924042,0.05670393937024907,0.025335929313615328,0.03274489225597224,19.34709176810116,16.81115204393165
1528855949.31,2.0068631058180215,0.05524338368157314,0.025484622144838813,0.032754858106872065,18.633479809315585,17.89499843713118
1528855949.36,2.0653409414504553,0.0556160387174377,0.026180459812544018,0.035314450865162446,17.064920330514482,17.854342945543152
