,wrench.force.x.ret/10.0,wrench.force.y.ret/10.0,wrench.force.z.ret/10.0,wrench.torque.x.ret/10.0,wrench.torque.y.ret/10.0,wrench.torque.z.ret/10.0
1528856218.55,0.0203000020980835,-0.03349999982863667,0.07360008239746108,0.004279999956488609,0.006000000089406967,-0.0004799999855458737
1528856218.57,0.018300004005432132,-0.03249999959021809,0.08100006103515639,0.004259999915957451,0.006040000095963479,-0.00021999999415129424
1528856218.59,0.010700001716613772,-0.042899999767541906,0.08240005493164078,0.00417999990284443,0.006000000089406968,-0.0003600000170990825
1528856218.61,0.0017000055313110356,-0.03689999975264075,0.08400005340576186,0.004039999917149544,0.005940000042319298,-0.0006000000098720193
1528856218.63,-0.010699992179870605,-0.013500000014901184,0.0766000366210939,0.004279999956488609,0.005720000043511391,-0.0007600000174716114
1528856218.65,-0.00029999256134033127,0.03709999941289423,0.048600006103515773,0.004459999948740006,0.005520000010728836,-0.0010600000014528632
1528856218.67,-0.011100001335144044,0.0840999998897314,0.022999992370605613,0.004799999967217445,0.005520000010728837,-0.0015000000037252903
1528856218.69,0.00070000171661377,0.08269999984651803,0.010199966430664205,0.005019999966025352,0.0055000000447034845,-0.0013399999961256981
1528856218.71,9.999752044677868e-05,0.04690000060945748,-0.018600044250488137,0.005399999991059303,0.005460000112652779,-0.0012200000043958426
1528856218.73,-0.02150000095367432,0.04250000122934578,-0.02640003204345689,0.005279999971389771,0.005760000050067902,-0.0013400000054389239
1528856218.75,-0.04590000629425049,-9.999867528679125e-05,-0.020200004577636578,0.005120000019669533,0.0059000000357627876,-0.0014400000218302011
1528856218.77,-0.04330000400543213,-0.061299999915063415,-0.012399978637695172,0.004940000027418137,0.006040000021457673,-0.0008200000133365394
1528856218.79,-0.0877000093460083,-0.033700000457465684,-0.02739997863769517,0.004900000020861626,0.006080000028014183,-0.0008399999979883434
1528856218.81,-0.08570000171661377,0.008699998445808868,-0.014599990844726421,0.004659999981522561,0.006259999945759774,-0.0008199999993667008
1528856218.83,-0.06790000438690186,-0.011100001744925998,-0.01479999542236314,0.004719999954104424,0.0062999999523162846,-0.0005599999916739763
1528856218.85,-0.05550000667572022,0.005699998922646027,-0.017200012207031108,0.004539999961853027,0.006279999911785126,-9.99999907799065e-05
1528856218.87,-0.05910000324249268,0.025899999327957616,-0.013400001525878764,0.004439999982714654,0.006219999939203262,-0.00011999999405816197
1528856218.89,-0.007500004768371584,0.016100000329315644,-0.008400001525878765,0.0044200000166893,0.006279999986290931,-0.0005399999883957207
1528856218.91,0.003899989128112792,0.01210000056773422,-0.007199974060058453,0.004560000002384186,0.006180000007152558,-0.0005599999870173634
1528856218.93,-0.0023000097274780275,0.023900000639259796,-0.010399971008300639,0.004680000022053719,0.0062200000882148745,-0.0005799999879673123
1528856218.95,0.005899996757507325,0.03490000028163193,-0.001599960327148296,0.004919999986886978,0.006340000107884407,-0.0003399999858811498
1528856218.97,0.015699992179870607,0.06509999949485062,-0.0013999938964842336,0.005019999966025353,0.006380000039935113,-0.0007199999922886492
1528856218.99,0.019499993324279787,0.0610999985411763,0.0058000183105470175,0.0047599999606609345,0.0062200000137090684,-0.00022000000346451997
1528856219.01,0.03509999752044678,0.06989999849349258,0.0013999938964845168,0.005400000065565109,0.005800000056624412,-0.00045999999623745684
1528856219.03,0.0346999979019165,0.08949999827891586,0.014399986267089987,0.005340000092983245,0.005839999988675118,-0.0007199999876320362
1528856219.05,0.03809999942779541,0.11469999749213455,0.013199958801269675,0.005120000094175339,0.005700000002980233,-0.0015200000070035458
1528856219.07,0.038099999427795406,0.11249999839812516,0.012399978637695454,0.005140000060200691,0.005700000002980233,-0.002040000017732382
1528856219.09,-0.00309999942779541,0.10849999863654373,0.025799980163574363,0.005240000039339067,0.005879999920725823,-0.002740000002086163
1528856219.11,-0.02429999828338623,0.09829999882727859,0.04199996948242202,0.004539999961853027,0.006259999871253968,-0.0027400000020861627
1528856219.13,-0.029299998283386232,0.09769999939948318,0.04659996032714858,0.0044399999082088476,0.006219999939203262,-0.0024200000078417362
1528856219.15,-0.049500002861022956,0.0817000003531575,0.04339996337890639,0.004599999934434891,0.006379999965429306,-0.0016999999829567973
1528856219.17,-0.05389999866485596,0.08130000073462723,0.037399940490722795,0.004539999961853028,0.006379999965429307,-0.0009199999668635429
1528856219.19,-0.01769999980926514,0.08350000102072953,-0.004200057983398298,0.004879999980330467,0.006180000007152558,-0.0003599999868310988
