,baxter_enpoint_pose.pose.position.x,baxter_enpoint_pose.pose.position.y,baxter_enpoint_pose.pose.position.z,baxter_enpoint_pose.pose.orientation.x,baxter_enpoint_pose.pose.orientation.y,baxter_enpoint_pose.pose.orientation.z,baxter_enpoint_pose.pose.orientation.w
1528856350.42,0.598161575299324,-0.1655768829653798,0.10426910930193765,0.9536184034655372,0.2960481441959297,0.0350575229386224,-0.041632488228158716
1528856350.47,0.5989446351542584,-0.16545812378659955,0.1049278272958175,0.953402874453052,0.29665934325123655,0.034618198490177596,-0.04257388622368894
1528856350.52,0.6005042063040409,-0.1655349815718497,0.10563990681015402,0.9532292957423728,0.2970727134719511,0.034622552698174505,-0.04354180575380856
1528856350.57,0.6029552501635196,-0.16531785105897076,0.10653180500381121,0.9529317845229096,0.2977931611368051,0.035324285272306834,-0.04453871782472837
1528856350.62,0.6063818664467591,-0.1650316949387057,0.10747688212116684,0.9525642818771426,0.29865503101666996,0.03693619913814104,-0.04528219097843992
1528856350.67,0.6103992438201449,-0.16484218529147748,0.1084085417505821,0.9521515177035845,0.29963752395251025,0.03909572450241678,-0.04565186596863329
1528856350.72,0.6145232882150445,-0.16469608060756544,0.10913000487965333,0.9515952499263132,0.30109562276675805,0.04117682759544759,-0.04575766273806944
1528856350.77,0.6184889058009597,-0.1646196288584004,0.10971034459364318,0.950920890187953,0.3030113738467972,0.042906600920148315,-0.04554657531364474
1528856350.82,0.6217660551146418,-0.16460040949276555,0.10991877107434872,0.950262447320745,0.30495775152515425,0.043834887410102476,-0.0454705133834155
1528856350.87,0.6240467393405789,-0.16428258724845618,0.10988476390504016,0.9495905074878608,0.3069990678854064,0.04364865631776729,-0.04593755141951677
1528856350.92,0.6256984528088598,-0.16402164643652253,0.1097319160167322,0.9488733052939294,0.30925289796897526,0.04279575642997898,-0.0464180151094424
1528856350.97,0.6263307317189755,-0.16393753929967772,0.10908699422346631,0.9481999153287591,0.3114702878947373,0.04085684487068393,-0.04703037816203029
1528856351.02,0.6271955291055984,-0.16388063105854983,0.10847876159996493,0.9476388384587461,0.31329960353758907,0.039262357726310364,-0.0475738580568732
1528856351.07,0.6280976264273709,-0.1636473693890482,0.10765856141619594,0.9470504462140494,0.3151565164433118,0.03792618556257566,-0.04819672261638198
1528856351.12,0.6293471170294159,-0.1634867250522907,0.1068981478416621,0.9466335764348915,0.3164403881384906,0.03710285440451768,-0.04867400710879548
1528856351.17,0.6310372286375614,-0.16302347482815135,0.10618551229104156,0.9463766957087872,0.3171266433341283,0.03706207328349215,-0.04925379566722244
1528856351.22,0.6329740182141751,-0.1624137655485341,0.10590313340894267,0.9462289231326717,0.31742886511823853,0.03766804220574839,-0.04967814174277552
1528856351.27,0.6344236544585471,-0.16168909410533433,0.10564068786426736,0.9461396303375967,0.317527681520929,0.038119565989591944,-0.05040248646130158
1528856351.32,0.6356149282069945,-0.16107849039847683,0.10572232257131779,0.9460905581595727,0.3175545608052536,0.038687471992846285,-0.0507280926744095
1528856351.37,0.6364102080094179,-0.1602626807222383,0.10583534354727055,0.9459824578416142,0.3177735237451442,0.0391773015654298,-0.051007614744765076
1528856351.42,0.6364786044088527,-0.1598458056057023,0.10581420910434394,0.9458575128497972,0.31813365072244815,0.03908961656353014,-0.05114777290688553
1528856351.47,0.6364639463881674,-0.1595533701601955,0.10580859903655822,0.9458028174540034,0.3182957899405957,0.03907506173170692,-0.05116142022068134
1528856351.52,0.6363270176618699,-0.15925348912993054,0.10579254465156104,0.9457326651832169,0.31853044520306917,0.03896264024641192,-0.051084508099443794
1528856351.57,0.6362481675204466,-0.15899374587896328,0.1057808747743017,0.9456781022723735,0.3186951769193229,0.03886177090723299,-0.05114600028045118
1528856351.62,0.6363512595657764,-0.15910791633443663,0.10583167030386366,0.9456584558560033,0.31876948830722646,0.038931024270980566,-0.05099309660793448
1528856351.67,0.6366376662285262,-0.15893976433353874,0.10602496463268046,0.945644557604181,0.3187965879918911,0.03916360568595488,-0.05090348756533919
1528856351.72,0.6367986406563039,-0.15907242909722957,0.10605727336726968,0.9456782493673771,0.3186946254235104,0.03917534705086746,-0.05090631534215661
1528856351.77,0.6369486879782118,-0.15916788777012525,0.10612813227116148,0.9457214040484788,0.3185526835242388,0.03926798244119515,-0.05092172412664507
1528856351.82,0.636875769169585,-0.15915044179671234,0.10604280132822835,0.9457375335077843,0.3185101127217973,0.03913308136141592,-0.05099145099441078
1528856351.87,0.636989583106096,-0.15903795691510628,0.1060368967327785,0.9457351762478848,0.3185032061469661,0.03921934536680193,-0.051011637520199916
1528856351.92,0.6369658399619985,-0.15927242964653873,0.10595578843631988,0.9457779295389309,0.31838914805024615,0.03914907797176245,-0.050985565600755886
