,wrench.force.x.ret/10.0,wrench.force.y.ret/10.0,wrench.force.z.ret/10.0,wrench.torque.x.ret/10.0,wrench.torque.y.ret/10.0,wrench.torque.z.ret/10.0
1527169986.5,0.17360000133514397,0.11869999781250962,-0.11179992675781224,0.004319999963045121,0.003400000035762787,-0.0010200000088661908
1527169986.52,0.17420000553131096,0.1280999960005284,-0.1257999420166013,0.003999999947845936,0.0036200000345706944,-0.001360000018030405
1527169986.54,0.14700000286102288,0.11709999695420271,-0.1399999237060544,0.003920000009238721,0.004220000058412552,-0.0011400000099092724
1527169986.56,0.12940000057220452,0.10689999476075178,-0.1725998687744138,0.0033200000226497653,0.005580000132322312,-0.0008199999947100879
1527169986.58,0.08220000743865959,0.07569999590516097,-0.1811998748779294,0.002800000011920929,0.00652000017464161,-0.000760000003501773
1527169986.6,0.0672000074386596,0.0740999926626683,-0.15519989013671848,0.002400000020861626,0.006400000229477882,-0.000700000012293458
1527169986.62,0.0488000059127807,0.0752999962866307,-0.12659988403320285,0.002160000018775463,0.006500000283122063,-0.00038000000175088646
1527169986.64,0.04100000858306878,0.06609999552369124,-0.11839988708496066,0.0015599999949336052,0.006840000301599503,-0.00034000000217929485
1527169986.66,0.04900001049041741,0.09409999504685408,-0.09359992980957005,0.0014999999850988388,0.006700000241398812,-0.0005399999977089465
1527169986.68,0.07060000896453851,0.14349999561905868,-0.07459991455078097,0.0011599999852478504,0.006520000174641609,-0.0007000000053085388
1527169986.7,0.07880000591278069,0.16769999638199815,-0.05839996337890597,0.0011999999918043613,0.006340000107884407,-0.0008599999942816795
1527169986.72,0.12019999980926507,0.19209999218583115,-0.048799972534179406,0.001180000025779009,0.006240000054240227,-0.0015400000265799465
1527169986.74,0.12940000057220452,0.23549999848008163,-0.03940002441406222,0.0011800000257790088,0.006180000081658363,-0.002200000062584877
1527169986.76,0.09860000133514397,0.26889999523758895,-0.046600036621093466,0.0012400000356137752,0.0061600000411272055,-0.003100000061094761
1527169986.78,0.07459999561309807,0.2730999960005284,-0.038600082397460656,0.0013600000366568565,0.006260000094771385,-0.0030400000512599947
1527169986.8,0.04139999866485589,0.28229999676346784,-0.05420005798339816,0.0014800000190734863,0.0064200001209974294,-0.0026000000583007938
1527169986.82,0.0036000013351439727,0.2964999975264073,-0.05480003356933566,0.0013399999961256981,0.006280000135302544,-0.002360000018961728
1527169986.84,0.0019999933242797153,0.28629999294877057,-0.052399978637695035,0.001499999985098839,0.006340000107884407,-0.0020599999697878957
