,baxter_enpoint_pose.pose.position.x,baxter_enpoint_pose.pose.position.y,baxter_enpoint_pose.pose.position.z,baxter_enpoint_pose.pose.orientation.x,baxter_enpoint_pose.pose.orientation.y,baxter_enpoint_pose.pose.orientation.z,baxter_enpoint_pose.pose.orientation.w
1529055769.77,0.4875109403508414,-0.38306860132924975,0.11849706825141494,0.9880345314461463,-0.15277819451845212,-0.016411733836957702,-0.013307110189654386
1529055769.82,0.48755855081377375,-0.38306601413736063,0.11852060470608757,0.9880439290998846,-0.15271897733839848,-0.016407358267535088,-0.013294567690306288
1529055769.87,0.4874852965307725,-0.38302831478882843,0.11849505894572922,0.9880524109155421,-0.1526630991534065,-0.016457858854807807,-0.013241269634999962
1529055769.92,0.487560080106584,-0.38307710253933347,0.11847207229707815,0.9880503115899006,-0.15268176509188652,-0.016405689740130378,-0.013247161063072166
1529055769.97,0.4876229079498873,-0.383182789891521,0.11854370471203841,0.9880717811666435,-0.15256812697892733,-0.016280352570654973,-0.01310963346519091
1529055770.02,0.4875297365949384,-0.3832073583113419,0.11856564488377612,0.9880683184033666,-0.15258516440312542,-0.016367933406756408,-0.013062540765002517
1529055770.07,0.48758851067576314,-0.3830999937445143,0.11861602764859128,0.9880609335948847,-0.15262244843737097,-0.016356751045617467,-0.013195821198419576
1529055770.12,0.48777815472151487,-0.383161140267803,0.1186676036516741,0.9880522427744767,-0.15270083377272542,-0.016128151111030307,-0.01322457755286178
1529055770.17,0.4877730810576808,-0.3832385070435442,0.11873829752605371,0.9880398110061969,-0.15279501589881755,-0.016079710023126317,-0.013122631569908557
1529055770.22,0.4877385566953029,-0.3830416080888239,0.11871493604247292,0.9880517134856434,-0.15270174471874112,-0.016149543355742205,-0.01322518004571536
1529055770.27,0.4880017057287419,-0.3830036342596987,0.11874307850161749,0.9880368458854355,-0.15281762523617526,-0.015909286663591236,-0.013289662969899337
1529055770.32,0.4879563502802686,-0.383042213809037,0.11869297658353584,0.9880460723466187,-0.15276055409988035,-0.015949054792379114,-0.013212084845932198
1529055770.37,0.4878955467811511,-0.38301085446208116,0.11869138525690456,0.9880476858594646,-0.152738743990712,-0.016059519184915678,-0.013208660467624441
